Hotel Evergreen Place Siam by UHG,"318 Phaya Thai Road, Ratchathewi, Phaya Thai, 10400 Bangkok, Thailand",8.4,4.927
Hotel lebua at State Tower (The World’s First Vertical Destination),"State Tower 1055/111 Silom Road, Bangrak, Bang Rak, 10500 Bangkok, Thailand",8.8,4.927
Hotel Millennium Hilton Bangkok,"123 Charoennakorn Road, Klongtonsai, Klongsan, 10600 Bangkok, Thailand",8.4,5.106
Hotel Bangkok Marriott Hotel Sukhumvit,"2 Sukhumvit Soi 57, Klongtan Nua, Wattana, Wattana, 10110 Bangkok, Thailand",8.9,5.0165
Hotel Novotel Bangkok Platinum Pratunam - SHA Certified,"220 Petchaburi Road, Ratchathewi, 10400 Bangkok, Thailand",8.5,4.927
Hotel Chatrium Hotel Riverside Bangkok,"28 Chareonkrung Soi 70, Bangkholame, Bang Kho Laem, 10120 Bangkok, Thailand",9.1,5.103
Hotel Pathumwan Princess Hotel,"444 MBK Centre, Phayathai Road, Pathumwan, Pathumwan, 10330 Bangkok, Thailand",8.9,4.754
Hotel Carlton Hotel Bangkok Sukhumvit,"Carlton Hotel Bangkok Sukhumvit, 491 Sukhumvit Rd. Klongtoey Nua, Wattana, Wattana, 10110 Bangkok, Thailand",9.3,5.719
Hotel Novotel Bangkok Sukhumvit 20 - SHA Certified,"19/9 Soi Sukhumvit 20 Kwang Klongtoey, Khet Klongtoey, Khlong Toei, 10110 Bangkok, Thailand",9,4.927
Hotel Royal Orchid Sheraton Hotel and Towers,"2 Charoen Krung Road Soi 30 (Captain Bush Lane), Bang Rak, 10500 Bangkok, Thailand",8.6,5.267
"Hotel InterContinental Bangkok, an IHG Hotel","973 Phloen Chit Road, Pathumwan, 10330 Bangkok, Thailand",8.9,4.404
"Hotel Shangri-La Hotel, Bangkok","89 Soi Wat Suan Plu, Bangrak, Bang Rak, 10500 Bangkok, Thailand",8.9,4.927
Hotel Bangkok Marriott Marquis Queen’s Park,"199 Sukhumvit Soi 22, Klong Ton Klong Toey, Khlong Toei, 10110 Bangkok, Thailand",8.7,4.927
Hotel Centre Point Sukhumvit 10,"39, Sukhumvit Soi 10, Sukhumvit Road, Klongtoey, Khlong Toei, 10110 Bangkok, Thailand",8.6,5.0125
Hotel Oakwood Suites Bangkok - SHA Certified,"20 Soi Sukhumvit 24, Sukhumvit Road Khlong Tan, Khlong Toei, Khlong Toei, 10110 Bangkok, Thailand",9.1,4.653
Apartments The Quarter Ploenchit by UHG,"Phloen Chit Road 1, Pathumwan, 10330 Bangkok, Thailand",8.9,4.927
Hotel SureStay Plus by Best Western Sukhumvit 2,"89 Sukhumvit Road, Soi 2, Klong Toey, Khlong Toei, 10110 Bangkok, Thailand",8.7,4.927
Hotel The Continent Hotel Bangkok by Compass Hospitality,"413 Sukhumvit Road (Between Sukhumvit Soi 21 and Sukhumvit Soi 23), Klongtoey Nua, Wattana, Bangkok, Wattana, 10110 Bangkok, Thailand",8.2,4.404
Hotel Asoke Residence Sukhumvit by UHG,"235/20-25 Sukhumvit Soi 21 (Asoke), Klongtoey Nua, Wattana, Wattana, 10110 Bangkok, Thailand",8.4,4.927
Hotel The Quarter Ladprao by UHG,"80 Soi Ladprao 4, Ladprao Road, Chom Phon, Chatuchak, Chatuchak, 10400 Bangkok, Thailand",8.9,4.927
