"Hotel Carlton Hotel Singapore (SG Clean, Staycation Approved)",9.2565
Resort Shangri-La's Rasa Sentosa Resort & Spa (SG Clean),9.2225
"Hotel Four Seasons Hotel Singapore (SG Clean, Staycation Approved)",9.139
Condo Hotel Citadines Balestier (SG Clean),9.1
Hotel Village Hotel Bugis by Far East Hospitality (SG Clean),8.983
Hotel Mandarin Orchard Singapore (SG Clean / Staycation Approved),8.834
Hotel Hotel Boss (SG Clean),8.6835
Hotel Andaz Singapore â€“ A Concept by Hyatt (SG Clean),8.6085
Hotel Marina Bay Sands (SG Clean),8.5925
Resort Sofitel Singapore Sentosa Resort & Spa (SG Clean),8.083
