Hotel Pathumwan Princess Hotel,9.3
Hotel Asoke Residence Sukhumvit by UHG,9.2
Hotel The Quarter Ladprao by UHG,9.2
"Hotel InterContinental Bangkok, an IHG Hotel",9.1
Hotel Novotel Bangkok Platinum Pratunam - SHA Certified,8.9
Hotel Chatrium Hotel Riverside Bangkok,8.9
Hotel Novotel Bangkok Sukhumvit 20 - SHA Certified,8.9
Hotel Bangkok Marriott Marquis Queenâ€™s Park,8.9
Hotel Oakwood Suites Bangkok - SHA Certified,8.9
Hotel lebua at State Tower (The Worldâ€™s First Vertical Destination),8.8
